Name,Developer,Version,Loader,Enabled,FileName,Path
Abnormals Delight,Team Abnormals,6.0.2,NeoForge,true,abnormals_delight-1.21.1-6.0.2.jar,C:\Users\Lucky56\github\modpacks\mods\abnormals_delight-1.21.1-6.0.2.jar
Abyssal Decor,"Morgan, MCreator",1.0.0,NeoForge,true,abyssal_decor_1.21.1_0.10.0_Neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\abyssal_decor_1.21.1_0.10.0_Neoforge.jar
Accessories,"Blodhgarm, chyzman, Dr.Zeal",1.1.0-beta.53+1.21.1,NeoForge,true,accessories-neoforge-1.1.0-beta.53+1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\accessories-neoforge-1.1.0-beta.53+1.21.1.jar
ActuallyHarvest,wendall911,1.1.7.6,NeoForge,true,actuallyharvest-1.21.1-neoforge-1.1.7.6-NEOFORGE.jar,C:\Users\Lucky56\github\modpacks\mods\actuallyharvest-1.21.1-neoforge-1.1.7.6-NEOFORGE.jar
AdvancedLootInfo,Yanny,1.12.0,NeoForge,true,AdvancedLootInfo-neoforge-1.21.1-1.12.0.jar,C:\Users\Lucky56\github\modpacks\mods\AdvancedLootInfo-neoforge-1.21.1-1.12.0.jar
Advancement Plaques,Grend,1.6.8,NeoForge,true,AdvancementPlaques-1.21.1-neoforge-1.6.8.jar,C:\Users\Lucky56\github\modpacks\mods\AdvancementPlaques-1.21.1-neoforge-1.6.8.jar
Advancements Reloaded,@42atomys,0.6.1,NeoForge,false,advancements_reloaded-0.6.1-neoforge-1.21.1.jar.disabled,C:\Users\Lucky56\github\modpacks\mods\advancements_reloaded-0.6.1-neoforge-1.21.1.jar.disabled
AeronauticsCompat,rohan,1.1.2,NeoForge,true,aeronauticscompat-1.1.2.jar,C:\Users\Lucky56\github\modpacks\mods\aeronauticscompat-1.1.2.jar
Aeronautics Propeller Blur,LopyLuna,1.0a,NeoForge,true,AeroPropBlur-1.21.1-1.0a.jar,C:\Users\Lucky56\github\modpacks\mods\AeroPropBlur-1.21.1-1.0a.jar
Aeronautics Camera Sync,-,1.3.1,NeoForge,true,aero_cam_sync-1.3.1.jar,C:\Users\Lucky56\github\modpacks\mods\aero_cam_sync-1.3.1.jar
The Aether,"AlphaMode, baguchi, bconlon, Blodhgarm, Burning Cactus, Drullkus, Hugo Payn, Jaryt, Katie 'Oz' Payn, quek, Raptor, reetam, RENREN, sunsette",1.5.10.1,NeoForge,true,aether-1.21.1-1.5.10.1-neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\aether-1.21.1-1.5.10.1-neoforge.jar
Aethers Delight,zjjohn121110,0.1.4.2-1.21.1,NeoForge,true,aethersdelight-0.1.4.2-1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\aethersdelight-0.1.4.2-1.21.1.jar
Aether Villages,"Aureljz, DiamondTown",1.0.8,NeoForge,true,AetherVillages-1.21.1-1.0.8-neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\AetherVillages-1.21.1-1.0.8-neoforge.jar
Beyond Parity,"bconlon, Oz Payn, Raptor, reetam",1.0.0,NeoForge,true,aether_beyond_parity-1.21.1-1.0.0-neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\aether_beyond_parity-1.21.1-1.0.0-neoforge.jar
